@relation trafico

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute lluvia {si, no}
@attribute cantidad {leve,moderado,alto,muy_alto}

@data
Viernes,Enero,24,Laboral,no,leve
Sábado,Enero,24,Víspera,no,leve
Domingo,Enero,24,Festivo,no,leve
Lunes,Enero,1,Laboral,no,leve
Martes,Enero,1,Laboral,no,leve
Miércoles,Enero,1,Laboral,no,leve
Jueves,Enero,1,Laboral,no,leve
Viernes,Enero,1,Laboral,no,leve
Sábado,Enero,1,Víspera,no,leve
Domingo,Enero,1,Festivo,no,leve
Lunes,Enero,2,Laboral,no,leve
Martes,Enero,2,Laboral,no,leve
Miércoles,Enero,2,Laboral,no,leve
Jueves,Enero,2,Laboral,no,leve
Viernes,Enero,2,Laboral,no,leve
Sábado,Enero,2,Víspera,no,leve
Domingo,Enero,2,Festivo,no,leve
Lunes,Enero,3,Laboral,no,leve
Martes,Enero,3,Laboral,no,leve
Miércoles,Enero,3,Laboral,no,leve
Jueves,Enero,3,Laboral,no,leve
Viernes,Enero,3,Laboral,no,leve
Sábado,Enero,3,Víspera,no,leve
Domingo,Enero,3,Festivo,no,leve
Lunes,Enero,4,Laboral,no,leve
Martes,Enero,4,Laboral,no,leve
Miércoles,Enero,4,Laboral,no,leve
Jueves,Enero,4,Laboral,no,leve
Viernes,Enero,4,Laboral,no,leve
Sábado,Enero,4,Víspera,no,leve
Domingo,Enero,4,Festivo,no,leve
Lunes,Enero,5,Laboral,no,leve
Martes,Enero,5,Laboral,no,leve
Miércoles,Enero,5,Laboral,no,leve
Jueves,Enero,5,Laboral,no,leve
Viernes,Enero,5,Laboral,no,leve
Sábado,Enero,5,Víspera,no,leve
Domingo,Enero,5,Festivo,no,leve
Lunes,Enero,6,Laboral,no,leve
Martes,Enero,6,Laboral,no,leve
Miércoles,Enero,6,Laboral,no,leve
Jueves,Enero,6,Laboral,no,leve
Viernes,Enero,6,Laboral,no,leve
Sábado,Enero,6,Víspera,no,leve
Domingo,Enero,6,Festivo,no,leve
Lunes,Enero,7,Laboral,no,moderado
Martes,Enero,7,Laboral,no,moderado
Miércoles,Enero,7,Laboral,no,moderado
Jueves,Enero,7,Laboral,no,moderado
Viernes,Enero,7,Laboral,no,moderado
Sábado,Enero,7,Víspera,no,leve
Domingo,Enero,7,Festivo,no,leve
Lunes,Enero,8,Laboral,no,muy_alto
Martes,Enero,8,Laboral,no,muy_alto
Miércoles,Enero,8,Laboral,no,muy_alto
Jueves,Enero,8,Laboral,no,alto
Viernes,Enero,8,Laboral,no,muy_alto
Sábado,Enero,8,Víspera,no,leve
Domingo,Enero,8,Festivo,no,leve
Lunes,Enero,9,Laboral,no,muy_alto
Martes,Enero,9,Laboral,no,muy_alto
Miércoles,Enero,9,Laboral,no,muy_alto
Jueves,Enero,9,Laboral,no,alto
Viernes,Enero,9,Laboral,no,muy_alto
Sábado,Enero,9,Víspera,no,moderado
Domingo,Enero,9,Festivo,no,leve
Lunes,Enero,10,Laboral,no,alto
Martes,Enero,10,Laboral,no,alto
Miércoles,Enero,10,Laboral,no,alto
Jueves,Enero,10,Laboral,no,alto
Viernes,Enero,10,Laboral,no,alto
Sábado,Enero,10,Víspera,no,moderado
Domingo,Enero,10,Festivo,no,leve
Lunes,Enero,11,Laboral,no,alto
Martes,Enero,11,Laboral,no,alto
Miércoles,Enero,11,Laboral,no,alto
Jueves,Enero,11,Laboral,no,alto
Viernes,Enero,11,Laboral,no,alto
Sábado,Enero,11,Víspera,no,alto
Domingo,Enero,11,Festivo,no,moderado
Lunes,Enero,12,Laboral,no,alto
Martes,Enero,12,Laboral,no,alto
Miércoles,Enero,12,Laboral,no,alto
Jueves,Enero,12,Laboral,no,alto
Viernes,Enero,12,Laboral,no,alto
Sábado,Enero,12,Víspera,no,alto
Domingo,Enero,12,Festivo,no,alto
Lunes,Enero,13,Laboral,no,alto
Martes,Enero,13,Laboral,no,alto
Miércoles,Enero,13,Laboral,no,alto
Jueves,Enero,13,Laboral,no,alto
Viernes,Enero,13,Laboral,no,alto
Sábado,Enero,13,Víspera,no,alto
Domingo,Enero,13,Festivo,no,alto
Lunes,Enero,14,Laboral,no,alto
Martes,Enero,14,Laboral,no,alto
Miércoles,Enero,14,Laboral,no,alto
Jueves,Enero,14,Laboral,no,muy_alto
Viernes,Enero,14,Laboral,no,muy_alto
Sábado,Enero,14,Víspera,no,alto
Domingo,Enero,14,Festivo,no,alto
Lunes,Enero,15,Laboral,no,muy_alto
Martes,Enero,15,Laboral,no,muy_alto
Miércoles,Enero,15,Laboral,no,muy_alto
Jueves,Enero,15,Laboral,no,muy_alto
Viernes,Enero,15,Laboral,no,muy_alto
Sábado,Enero,15,Víspera,no,alto
Domingo,Enero,15,Festivo,no,alto
Lunes,Enero,16,Laboral,no,muy_alto
Martes,Enero,16,Laboral,no,muy_alto
Miércoles,Enero,16,Laboral,no,muy_alto
